,epiweek,Mean,Sigma
0,1.0,1.4434777605263158,1.0843929998914
1,2.0,1.6322897105263159,1.4964858749518497
2,3.0,1.6352435710526316,1.8323816035380236
3,4.0,1.7167312894736846,1.7073880182529029
4,5.0,1.7205147368421057,1.2631816136573515
5,6.0,1.7856678157894739,0.6623102713622164
6,7.0,1.8011552631578946,0.3502986006451413
7,8.0,2.049177052631579,0.35815004925447086
8,9.0,2.009601026315789,0.4361412078211966
9,10.0,2.1547235789473684,0.6942715381320335
10,11.0,2.4710600789473687,1.5715093801558224
11,12.0,3.0537686315789476,1.7323617407414957
12,13.0,3.685928157894736,2.28311086404266
13,14.0,3.1477084210526316,1.525980271760665
14,15.0,2.887357289473684,1.1768153223373243
15,16.0,3.0054593684210524,1.2843333173478115
16,17.0,3.224877368421053,1.4005887088088647
17,18.0,3.5495703157894734,1.681269236433374
18,19.0,3.7026401842105265,1.7947659213204266
19,20.0,3.6460828421052636,1.6828005251748699
20,21.0,3.367541026315789,1.2936371166296174
21,22.0,3.0244019315789465,0.8757266075783839
22,23.0,2.7892178684210522,0.7029465990011798
23,24.0,2.550675210526316,0.46068395931363976
24,25.0,2.2435685342105267,0.3406358822299151
25,26.0,2.03328165,0.25327368937288003
26,27.0,1.6853684789473682,0.18934870415938485
27,28.0,1.4958257842105267,0.13681867908683085
28,29.0,1.3552833710526315,0.0917765728043585
29,30.0,1.3066286157894738,0.187873365184195
30,31.0,1.2386326789473685,0.11358771393756167
31,32.0,1.125128205263158,0.07658768854481839
32,33.0,1.106606605263158,0.09774933580251521
33,34.0,0.9427362499999999,0.0679421953125
